Model,Train_R2,Test_R2,Overall_R2,Train_RMSE,Test_RMSE,Overall_RMSE,Train_MAE,Test_MAE,Overall_MAE,Train_MSE,Test_MSE,Overall_MSE,Train_Spearman,Test_Spearman,Overall_Spearman
RandomForest,0.898138135,0.609997413,0.87740518,0.062732581,0.101137256,0.067781768,0.045239295,0.085257815,0.049429716,0.003935377,0.010228745,0.004594368,0.982436941,0.738345865,0.962465555
GBRT,0.998401703,0.651187604,0.972963134,0.007858074,0.095647446,0.031831347,0.006170604,0.081732138,0.014082806,6.17E-05,0.009148434,0.001013235,0.999169607,0.727819549,0.979916988
KNN,0.477705985,0.618385114,0.489977,0.142051188,0.100043776,0.138252093,0.10039935,0.084000752,0.098682219,0.02017854,0.010008757,0.019113641,0.742760456,0.74040653,0.742862039
XGBoost,0.999996279,0.476164497,0.961608808,0.000379179,0.117212759,0.037930855,0.000263032,0.096967477,0.010389152,1.44E-07,0.013738831,0.00143875,0.9999928,0.6,0.970399904
DKL,0.935509308,0.456759217,0.900667038,0.04991555,0.119364067,0.061013161,0.035356272,0.090987734,0.041181615,0.002491562,0.01424778,0.003722606,0.973221014,0.596992481,0.942422155
