Metric,CV_Mean,CV_Std,CV_Best,Train,Test
R²,0.46938545049327746,0.08094505340196265,0.5837110234962428,0.8914082247918539,0.36873070198435265
Spearman,0.670084271939065,0.06157781873627704,0.7479094076655053,0.9673064628024974,0.6287172838505793
RMSE,0.1375023650189269,0.012515146877409716,0.12406936849293251,0.06359359960415051,0.14256785129391827
MAE,0.10226609937729839,0.01175794736188693,0.09077610537809165,0.03983874385403204,0.10287513510129771
