Model,Train_R2,Test_R2,Overall_R2,Train_RMSE,Test_RMSE,Overall_RMSE,Train_MAE,Test_MAE,Overall_MAE,Train_MSE,Test_MSE,Overall_MSE,Train_Spearman,Test_Spearman,Overall_Spearman
RandomForest,0.842442943,0.184510009,0.801473305,0.058401178,0.100270159,0.064080749,0.040960534,0.088729057,0.045962473,0.003410698,0.010054105,0.004106342,0.909175127,0.396992481,0.877054629
GBRT,0.998630851,0.14329413,0.945246303,0.005444125,0.102772816,0.033653082,0.004389614,0.083721059,0.012696572,2.96E-05,0.010562252,0.00113253,0.996822425,0.403007519,0.9549876
KNN,0.277176145,0.218714446,0.273962594,0.125088942,0.098144798,0.122545571,0.086436158,0.081065369,0.085873771,0.015647243,0.009632401,0.015017417,0.509252259,0.496427263,0.510419219
XGBoost,0.999993367,0.275456287,0.954771786,0.000378937,0.094513682,0.030586011,0.000259553,0.076364802,0.008228689,1.44E-07,0.008932836,0.000935504,0.9999616,0.538345865,0.967906104
DKL,0.841631419,0.181177867,0.800505328,0.058551388,0.100474805,0.064236781,0.040084366,0.079144154,0.04417436,0.003428265,0.010095187,0.004126364,0.867641059,0.491729323,0.840167746
