Metric,CV_Mean,CV_Std,CV_Best,Train,Test
R²,0.4336242089628203,0.12534655822115814,0.5669733809664783,0.8986027166634808,0.5840740409355031
Spearman,0.6560094102199365,0.034061345767371715,0.70668016194332,0.9762676070776865,0.6491902834008098
RMSE,0.16015578122390373,0.0428986503864312,0.12194081998580514,0.07094969362986482,0.12040412314623056
MAE,0.11887156675200186,0.025514601751925062,0.09033938467910396,0.04384954940610817,0.10018646096375503
