mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
5.933638811,0.196557547,0.006307364,0.000429104,0.6,0.05,4,1,100,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.399122729,0.310214594,0.444447608,0.384594977,0.055754923,15,0.878331187,0.909944829,0.911907222,0.900061079,0.015386226
5.847270966,0.080978838,0.005003134,5.95E-07,0.6,0.05,4,1,100,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.376122343,0.32116418,0.455670315,0.384318946,0.055216926,16,0.888345953,0.926974299,0.928045873,0.914455375,0.018467331
4.933125575,0.549203535,0.005672375,0.00011437,0.6,0.05,4,3,100,0.2,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.363998568,0.356176772,0.432715581,0.384296973,0.034385717,17,0.929079423,0.94409663,0.952721485,0.941965846,0.009768724
4.705836614,0.98500476,0.005967935,0.000362001,0.6,0.05,3,1,100,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.369478004,0.338897191,0.442876236,0.383750477,0.043632466,18,0.8855579,0.917869676,0.919064134,0.907497237,0.015521116
7.95444115,0.189947314,0.007013162,0.000413313,1,0.05,4,1,100,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.450990502,0.318185558,0.381118912,0.383431657,0.054242049,19,0.9501156,0.959687163,0.966636868,0.958813211,0.006773031
9.026131233,0.53152311,0.005972942,0.000350197,0.6,0.05,4,1,150,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.386842,0.319590935,0.443427623,0.383286853,0.050618578,20,0.940554723,0.964035219,0.964351584,0.956313842,0.011144128
4.809369564,0.313067841,0.006350517,0.000249265,0.6,0.05,4,3,100,0.1,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.393595089,0.326926564,0.42810139,0.382874347,0.041994342,21,0.952175646,0.962011624,0.971158587,0.961781952,0.007751455
7.119759162,0.677896393,0.006015619,0.000398316,0.6,0.05,4,3,150,0.1,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.404225671,0.32430341,0.419881831,0.382803637,0.04185679,22,0.979744478,0.983142971,0.988204339,0.983697263,0.003475892
11.33311502,0.602038956,0.006339073,0.000480138,1,0.05,4,1,150,0.1,0.5,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.441058426,0.314558095,0.391509191,0.382375237,0.052045847,23,0.982607554,0.985085087,0.989071672,0.985588104,0.002662827
9.938653151,1.029544137,0.007343372,0.000478996,1,0.05,4,3,150,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.452086196,0.343516015,0.349500146,0.381700786,0.049829924,24,0.974137983,0.981328033,0.986541136,0.980669051,0.005084961
