Model,Train_R2,Test_R2,Overall_R2,Train_RMSE,Test_RMSE,Overall_RMSE,Train_MAE,Test_MAE,Overall_MAE,Train_MSE,Test_MSE,Overall_MSE,Train_Spearman,Test_Spearman,Overall_Spearman
RandomForest,0.874672303,0.502528676,0.849281782,0.058487824,0.092952461,0.062986925,0.041200137,0.072166129,0.04444265,0.003420826,0.00864016,0.003967353,0.970948232,0.642105263,0.949331772
GBRT,0.998998024,0.374446328,0.955850303,0.005229625,0.10423394,0.034090345,0.00422235,0.081600767,0.012324802,2.73E-05,0.010864714,0.001162152,0.999342405,0.553383459,0.970334459
KNN,0.392332943,0.500424444,0.401356852,0.128787817,0.093148841,0.125531159,0.090813778,0.07520643,0.089179501,0.016586302,0.008676707,0.015758072,0.69282518,0.712566041,0.698673501
XGBoost,0.999995256,0.587155428,0.971472158,0.000359852,0.084677915,0.027403245,0.000257532,0.067913801,0.007341958,1.29E-07,0.007170349,0.000750938,0.9999712,0.780451128,0.98282757
DKL,0.891035814,0.44425156,0.860446216,0.054536068,0.098246252,0.060609171,0.040692722,0.078924525,0.04469607,0.002974183,0.009652326,0.003673472,0.946564427,0.628571429,0.924579774
