Model,Train_R2,Test_R2,Overall_R2,Train_RMSE,Test_RMSE,Overall_RMSE,Train_MAE,Test_MAE,Overall_MAE,Train_MSE,Test_MSE,Overall_MSE,Train_Spearman,Test_Spearman,Overall_Spearman
RandomForest,0.856320681,0.432032966,0.828894831,0.057311619,0.087999405,0.06124999,0.039964421,0.075738505,0.043710398,0.003284622,0.007743895,0.003751561,0.944918608,0.69924812,0.929966472
GBRT,0.998213621,0.552210274,0.969174421,0.006390464,0.07813673,0.02599741,0.005093215,0.06209077,0.011061545,4.08E-05,0.006105349,0.000675865,0.998467011,0.685714286,0.978180533
KNN,0.319950894,0.350742367,0.322911206,0.124685423,0.094086367,0.121842071,0.086208787,0.073796976,0.084909121,0.015546455,0.008852245,0.01484549,0.580459022,0.565839137,0.586313857
XGBoost,0.999994249,0.479613998,0.966109462,0.000362594,0.084232748,0.027259236,0.000257238,0.069169835,0.007473217,1.31E-07,0.007095156,0.000743066,0.9999766,0.694736842,0.977781835
DKL,0.872131683,0.361244687,0.839044421,0.054066346,0.0933223,0.059405612,0.03757763,0.071908349,0.041172517,0.00292317,0.008709052,0.003529027,0.921132384,0.569924812,0.900155389
